id,task,word_id,word,nchar,start,end,duration,gap_before,gap_after,type
A,1,1,out,3,1291,1728,437,462,683,word
A,1,2,in,2,2411,2564,153,683,286,word
A,1,3,the,3,2850,3141,291,286,423,word
A,1,4,uncharyted,10,3564,6074,2510,423,371,word
A,1,5,backwaters,10,6445,7970,1525,371,305,word
A,1,6,of,2,8275,8436,161,305,266,word
A,1,7,the,3,8702,8993,291,266,676,word
A,1,8,nunfashionable,14,9669,15103,5434,676,717,word
A,1,9,end,3,15820,16029,209,717,319,word
A,1,10,of,2,16348,16479,131,319,255,word
A,1,11,the,3,16734,17004,270,255,457,word
A,1,12,western,7,17461,18654,1193,457,891,word
A,1,13,spiral,6,19545,20754,1209,891,357,word
A,1,14,arm,3,21111,21493,382,357,345,word
A,1,15,of,2,21838,21988,150,345,268,word
A,1,16,the,3,22256,22537,281,268,648,word
A,1,17,Galaxy,6,23185,24838,1653,648,1076,word
A,1,18,lies,4,25914,26439,525,1076,276,word
A,1,19,a,1,26715,26715,0,276,589,word
A,1,20,small,5,27304,28724,1420,589,890,word
A,1,21,unregaredded,12,29614,34630,5016,890,1273,word
A,1,22,yellow,6,35903,36884,981,1273,392,word
A,1,23,sun.Orbiting,12,37276,42301,5025,392,310,word
A,1,24,this,4,42611,43078,467,310,237,word
A,1,25,at,2,43315,43431,116,237,281,word
A,1,26,a,1,43712,43712,0,281,209,word
A,1,27,sidistance,10,43921,46147,2226,209,311,word
A,1,28,of,2,46458,46571,113,311,271,word
A,1,29,eouplroupugghly,15,46842,52916,6074,271,977,word
A,1,30,ninetytwo,9,53893,57637,3744,977,688,word
A,1,31,million,7,58325,59670,1345,688,335,word
A,1,32,miles,5,60005,60950,945,335,274,word
A,1,35,an,2,63003,63131,128,836,1331,word
A,1,36,an,2,64462,64542,80,1331,615,word
A,1,37,utterly,7,65157,66632,1475,615,1160,word
A,1,38,insiignificatnt,15,67792,71692,3900,1160,1150,word
A,1,39,little,6,72842,74089,1247,1150,311,word
A,1,40,buklue,6,74400,76470,2070,311,288,word
A,1,41,green,5,76758,78045,1287,288,387,word
A,1,42,planet,6,78432,79420,988,387,445,word
A,1,43,whose,5,79865,80663,798,445,375,word
A,1,44,apedescended,12,81038,85349,4311,375,2671,word
A,1,45,life,4,88020,88542,522,2671,294,word
A,1,46,forms,5,88836,89339,503,294,277,word
A,1,47,are,3,89616,89946,330,277,273,word
A,1,48,so,2,90219,90323,104,273,314,word
A,1,49,amazoingly,10,90637,93547,2910,314,825,word
A,1,50,primitivie,10,94372,98787,4415,825,956,word
A,1,51,that,4,99743,100059,316,956,295,word
A,1,52,they,4,100354,100656,302,295,638,word
A,1,53,still,5,101294,101942,648,638,1006,word
A,1,54,think,5,102948,103592,644,1006,604,word
A,1,55,digital,7,104196,105163,967,604,1014,word
A,1,56,watches,7,106177,107446,1269,1014,760,word
A,1,57,are,3,108206,108599,393,760,225,word
A,1,58,a,1,108824,108824,0,225,833,word
A,1,59,pretty,6,109657,110972,1315,833,370,word
A,1,60,neat,4,111342,111794,452,370,557,word
A,1,61,idea.This,9,112351,116102,3751,557,345,word
A,1,64,"has,",4,121215,121599,384,1122,352,comma
A,1,65,or,2,121951,122068,117,352,396,word
A,1,66,rather,6,122464,123086,622,396,277,word
A,1,67,"had,",4,123363,123870,507,277,296,comma
A,1,68,a,1,124166,124166,0,296,552,word
A,1,69,"problem,",8,124718,126216,1498,552,491,comma
A,1,70,which,5,126707,127132,425,491,345,word
A,1,71,was,3,127477,127750,273,345,528,word
A,1,72,this:,5,128278,129167,889,528,1045,word
A,1,73,most,4,130212,130588,376,1045,348,word
A,1,74,of,2,130936,131076,140,348,220,word
A,1,75,the,3,131296,131519,223,220,310,word
A,1,76,people,6,131829,132624,795,310,263,word
A,1,77,on,2,132887,133070,183,263,285,word
A,1,78,it,2,133355,133485,130,285,492,word
A,1,79,were,4,133977,134463,486,492,851,word
A,1,80,nhappyyinhunhappy,17,135314,140739,5425,851,1219,word
A,1,81,for,3,141958,142185,227,1219,1024,word
A,1,82,preppttty,9,143209,145452,2243,1024,570,word
A,1,83,much,4,146022,146999,977,570,836,word
A,1,84,of,2,147835,147935,100,836,242,word
A,1,85,the,3,148177,148394,217,242,312,word
A,1,86,"time,.",6,148706,150136,1430,312,423,fullstop
A,1,87,Many,4,150559,151213,654,423,625,word
A,1,88,soultiliutions,14,151838,155933,4095,625,1512,word
A,1,89,were,4,157445,157915,470,1512,484,word
A,1,90,suggested,9,158399,159786,1387,484,544,word
A,1,91,for,3,160330,160704,374,544,377,word
A,1,92,tgishis,7,161081,162753,1672,377,602,word
A,1,93,"problem,",8,163355,165663,2308,602,294,comma
A,1,94,but,3,165957,166330,373,294,676,word
A,1,95,most,4,167006,167410,404,676,343,word
A,1,96,of,2,167753,167894,141,343,350,word
A,1,97,these,5,168244,169192,948,350,351,word
A,1,98,were,4,169543,170061,518,351,363,word
A,1,99,largely,7,170424,171336,912,363,1075,word
A,1,100,concerned,9,172411,173796,1385,1075,317,word
A,1,101,with,4,174113,174610,497,317,482,word
A,1,102,the,3,175092,175304,212,482,809,word
A,1,103,moevenments,11,176113,178587,2474,809,825,word
A,1,104,fof,3,179412,180144,732,825,274,word
A,1,105,small,5,180418,181362,944,274,727,word
A,1,106,green,5,182089,182809,720,727,398,word
A,1,107,pieces,6,183207,184640,1433,398,426,word
A,1,108,pfof,4,185066,186268,1202,426,855,word
A,1,109,"paper,",6,187123,187837,714,855,866,comma
A,1,110,which,5,188703,189050,347,866,285,word
A,1,111,is,2,189335,189485,150,285,661,word
A,1,112,odd,3,190146,190468,322,661,337,word
A,1,113,because,7,190805,191653,848,337,370,word
A,1,114,on,2,192023,192186,163,370,314,word
A,1,115,the,3,192500,192773,273,314,258,word
A,1,116,whole,5,193031,194013,982,258,322,word
A,1,117,it,2,194335,194538,203,322,423,word
A,1,118,wasn't,6,194961,196306,1345,423,482,word
A,1,119,the,3,196788,197021,233,482,315,word
A,1,120,sammall,7,197336,201720,4384,315,990,word
A,1,121,green,5,202710,203386,676,990,386,word
A,1,122,pieces,6,203772,205035,1263,386,372,word
A,1,123,pf,2,205407,205540,133,372,978,word
A,1,124,of,2,206518,206616,98,978,403,word
A,1,125,paper,5,207019,207516,497,403,411,word
A,1,126,that,4,207927,208232,305,411,424,word
A,1,127,were,4,208656,209137,481,424,340,word
A,2,2,faviorite,9,2209,6871,4662,1770,430,word
A,2,3,food,4,7301,7701,400,430,276,word
A,2,4,is,2,7977,8078,101,276,21564,word
A,2,5,tomifishfdish,13,29642,39481,9839,21564,375,word
A,2,8,food,4,46051,46408,357,5968,344,word
A,2,9,is,2,46752,46873,121,344,3687,word
A,2,10,fried,5,50560,51171,611,3687,898,word
A,2,11,tomato,6,52069,54583,2514,898,1280,word
A,2,12,with,4,55863,56263,400,1280,1096,word
A,2,13,eggs.,5,57359,58497,1138,1096,1595,fullstop
A,2,14,It,2,60092,61195,1103,1595,339,word
A,2,15,is,2,61534,61644,110,339,304,word
A,2,16,a,1,61948,61948,0,304,588,word
A,2,17,traditional,11,62536,64080,1544,588,1819,word
A,2,18,Chinese,7,65899,66808,909,1819,1618,word
A,2,19,dish,4,68426,68744,318,1618,2663,word
A,2,20,and,3,71407,71610,203,2663,528,word
A,2,21,it,2,72138,72270,132,528,261,word
A,2,22,is,2,72531,72761,230,261,1164,word
A,2,23,very,4,73925,74222,297,1164,5213,word
A,2,24,esasy,5,79435,80473,1038,5213,479,word
A,2,25,to,2,80952,81044,92,479,695,word
A,2,26,cook..,6,81739,90356,8617,695,461,fullstop
A,2,27,i,1,90817,90817,0,461,1375,word
A,2,28,I,1,92192,92192,0,1375,373,word
A,2,29,love,4,92565,93084,519,373,585,word
A,2,30,it,2,93669,93736,67,585,662,word
A,2,31,because,7,94398,95264,866,662,2253,word
A,2,32,and,3,97517,97725,208,2253,662,word
A,2,33,it,2,98387,98496,109,662,388,word
A,2,34,tasktstes,9,98884,101728,2844,388,799,word
A,2,35,really,6,102527,103308,781,799,387,word
B,1,1,out,3,1633,2077,444,388,192,word
B,1,2,in,2,2269,2368,99,192,1013,word
B,1,3,the,3,3381,3660,279,1013,253,word
B,1,4,uncharted,9,3913,5206,1293,253,18791,word
B,1,5,backwaters,10,23997,25341,1344,18791,195,word
B,1,6,of,2,25536,25589,53,195,208,word
B,1,7,the,3,25797,25964,167,208,140,word
B,1,8,unfashionalble,14,26104,28538,2434,140,953,word
B,1,9,end,3,29491,29725,234,953,235,word
B,1,10,of,2,29960,30015,55,235,273,word
B,1,11,the,3,30288,30508,220,273,227,word
B,1,12,western,7,30735,31568,833,227,335,word
B,1,13,spiral,6,31903,32427,524,335,216,word
B,1,14,arm,3,32643,32913,270,216,260,word
B,1,15,of,2,33173,33230,57,260,223,word
B,1,16,the,3,33453,33647,194,223,270,word
B,1,17,galaxpty,8,33917,37821,3904,270,463,word
B,1,18,lies,4,38284,38833,549,463,230,word
B,1,19,a,1,39063,39063,0,230,238,word
B,1,20,small,5,39301,39731,430,238,856,word
B,1,21,unregarded,10,40587,42271,1684,856,842,word
B,1,22,yellow,6,43113,43853,740,842,258,word
B,1,23,sun.Orbiting,12,44111,48142,4031,258,219,word
B,1,24,this,4,48361,48601,240,219,223,word
B,1,25,at,2,48824,49068,244,223,246,word
B,1,26,a,1,49314,49314,0,246,245,word
B,1,27,distance,8,49559,50533,974,245,326,word
B,1,28,of,2,50859,50966,107,326,350,word
B,1,29,roughly,7,51316,52349,1033,350,1349,word
B,1,33,ninetyttwo,10,59927,64476,4549,4208,592,word
B,1,34,million,7,65068,65980,912,592,231,word
B,1,35,miles,5,66211,66775,564,231,212,word
B,1,36,is,2,66987,67236,249,212,733,word
B,1,37,s,1,67969,67969,0,733,591,word
B,1,38,an,2,68560,68632,72,591,291,word
B,1,39,uttrerly,8,68923,70629,1706,291,205,word
B,1,40,insigfninificant,16,70834,73999,3165,205,493,word
B,1,41,ilittle,7,74492,75872,1380,493,203,word
B,1,42,blue,4,76075,76482,407,203,461,word
B,1,43,green,5,76943,77715,772,461,241,word
B,1,44,planet,6,77956,78837,881,241,373,word
B,1,45,whose,5,79210,79756,546,373,211,word
B,1,46,apedescended,12,79967,82231,2264,211,221,word
B,1,47,life,4,82452,82848,396,221,204,word
B,1,48,forms,5,83052,83645,593,204,211,word
B,1,49,are,3,83856,84185,329,211,212,word
B,1,50,so,2,84397,84482,85,212,355,word
B,1,51,amazoingly,10,84837,86634,1797,355,699,word
B,1,52,primitive,9,87333,88622,1289,699,223,word
B,1,53,that,4,88845,89091,246,223,382,word
B,1,54,they,4,89473,89785,312,382,521,word
B,1,55,still,5,90306,91107,801,521,281,word
B,1,58,digital,7,98483,99757,1274,6501,329,word
B,1,59,watches,7,100086,101996,1910,329,218,word
B,1,60,are,3,102214,102609,395,218,192,word
B,1,61,a,1,102801,102801,0,192,292,word
B,1,62,pretyty,7,103093,104407,1314,292,336,word
B,1,68,idea,4,110621,111002,381,1317,2854,word
B,1,69,.This,5,113856,116602,2746,2854,685,word
B,1,73,"has,",4,132261,132758,497,1174,305,comma
B,1,74,or,2,133063,133178,115,305,300,word
B,1,75,rather,6,133478,134048,570,300,281,word
B,1,76,"had,",4,134329,134788,459,281,334,comma
B,1,77,a,1,135122,135122,0,334,402,word
B,1,78,"problem,",8,135524,136600,1076,402,1128,comma
B,1,79,which,5,137728,138174,446,1128,422,word
B,1,80,was,3,138596,138856,260,422,378,word
B,1,81,this,4,139234,139560,326,378,814,word
B,1,82,:,1,140374,140374,0,814,251,word
B,1,83,most,4,140625,141022,397,251,175,word
B,1,84,o,1,141197,141197,0,175,583,word
B,1,85,f,1,141780,141780,0,583,211,word
B,1,86,the,3,141991,142157,166,211,225,word
B,1,87,people,6,142382,142940,558,225,217,word
B,1,88,on,2,143157,143265,108,217,153,word
B,1,89,it,2,143418,143514,96,153,229,word
B,1,90,were,4,143743,144230,487,229,371,word
B,1,91,unchhappy,9,144601,146696,2095,371,287,word
B,1,92,for,3,146983,147296,313,287,220,word
B,1,93,pretty,6,147516,148426,910,220,278,word
B,1,94,much,4,148704,149065,361,278,203,word
B,1,95,of,2,149268,149336,68,203,449,word
B,1,96,the,3,149785,150135,350,449,592,word
B,1,97,time.,5,150727,151280,553,592,372,fullstop
B,1,98,Many,4,151652,152180,528,372,309,word
B,1,99,soluittions,11,152489,154693,2204,309,220,word
B,1,100,were,4,154913,155419,506,220,201,word
B,1,101,suggested,9,155620,156974,1354,201,254,word
B,1,102,foor,4,157228,158464,1236,254,275,word
B,1,103,this,4,158739,159005,266,275,273,word
B,1,104,problem.,8,159278,160337,1059,273,1068,fullstop
B,1,105,",",1,161405,161405,0,1068,406,comma
B,1,106,but,3,161811,162235,424,406,291,word
B,1,107,most,4,162526,162953,427,291,248,word
B,1,108,of,2,163201,163277,76,248,210,word
B,1,109,these,5,163487,164050,563,210,206,word
B,1,110,were,4,164256,164772,516,206,238,word
B,1,111,leatargely,10,165010,167063,2053,238,303,word
B,1,112,ocncconcerned,13,167366,170107,2741,303,195,word
B,1,113,with,4,170302,170537,235,195,210,word
B,1,114,the,3,170747,170951,204,210,188,word
B,1,115,movements,9,171139,172701,1562,188,325,word
B,1,116,of,2,173026,173110,84,325,527,word
B,1,117,small,5,173637,174045,408,527,389,word
B,1,118,grreen,6,174434,176010,1576,389,1032,word
B,1,119,pieces,6,177042,178148,1106,1032,380,word
B,1,120,of,2,178528,178587,59,380,256,word
B,1,121,"paper,",6,178843,180086,1243,256,430,comma
B,1,122,which,5,180516,181377,861,430,249,word
B,1,123,is,2,181626,181734,108,249,270,word
B,1,124,odd,3,182004,182275,271,270,267,word
B,1,125,because,7,182542,183538,996,267,1094,word
B,1,126,on,2,184632,184819,187,1094,230,word
B,1,127,the,3,185049,185229,180,230,206,word
B,1,128,hwolr,5,185435,185864,429,206,203,word
B,1,129,iowhwhole,9,186067,190229,4162,203,274,word
B,1,130,it,2,190503,190626,123,274,397,word
B,1,131,wasn't,6,191023,193698,2675,397,445,word
B,1,132,the,3,194143,194342,199,445,230,word
B,1,133,small,5,194572,194946,374,230,289,word
B,1,134,green,5,195235,195832,597,289,227,word
B,1,135,pieces,6,196059,197031,972,227,351,word
B,1,136,of,2,197382,197458,76,351,250,word
B,1,137,paper,5,197708,198220,512,250,250,word
B,1,138,t'hahat,7,198470,200467,1997,250,300,word
B,1,139,were,4,200767,201289,522,300,254,word
B,2,1,favorite,8,558,1547,989,265,231,word
B,2,2,food,4,1778,2257,479,231,216,word
B,2,3,is,2,2473,2542,69,216,175,word
B,2,6,actually,8,5463,6466,1003,2463,278,word
B,2,7,a,1,6744,6744,0,278,305,word
B,2,8,combination,11,7049,8133,1084,305,283,word
B,2,9,of,2,8416,8500,84,283,167,word
